{ , Identifier
Sample , Identifier
program , Identifier
in , Identifier
TINY , Identifier
language , Identifier
- , minus
computes , Identifier
factorial , Identifier
read , Reserved
x , Identifier
; , semicolon
if , Reserved
0 , Identifier
< , smaller
x , Identifier
then , Reserved
{ , Identifier
don , Identifier
't , Identifier
compute , Identifier
if , Reserved
x , Identifier
< , smaller
= , equal
0 , Identifier
fact , Identifier
:= , assign
1 , Number
; , semicolon
repeat , Reserved
fact , Identifier
:= , assign
fact , Identifier
* , times
x , Identifier
; , semicolon
x , Identifier
:= , assign
x , Identifier
- , minus
1 , Number
until , Reserved
x , Identifier
= , equal
0 , Identifier
; , semicolon
write , Reserved
fact , Identifier
{ , Identifier
output , Identifier
factorial , Identifier
of , Identifier
x , Identifier
end , Reserved
